ticker,title,category,series_ticker,result,hit_90_percent,data_method,crossing_timestamp,crossing_price,volume,signal_timing
KXMVESPORTSMULTIGAMEEXTENDED-S20261F61DE11179-2026EEA5A30,"yes Devin Booker: 2+,yes Jalen Brunson: 4+,yes Alperen Sengun: 2+,yes Cooper Flagg: 15+,yes Josh Hart: 10+,yes Amen Thompson: 10+,yes Mikal Bridges: 2+,yes Kevin Durant: 2+",Sports,KXMVESPORTSMULTIGAMEEXTENDED,yes,False,,,,0,
KXMVESPORTSMULTIGAMEEXTENDED-S20261E05A2A6605-A4957962E26,"yes Jalen Brunson: 2+,yes Cooper Flagg: 15+,yes Jalen Brunson: 2+",Sports,KXMVESPORTSMULTIGAMEEXTENDED,yes,False,,,,0,
KXMVESPORTSMULTIGAMEEXTENDED-S20261E05A2A6605-8EB3171E785,"yes Jalen Brunson: 2+,yes Cooper Flagg: 15+,yes Karl-Anthony Towns: 8+",Sports,KXMVESPORTSMULTIGAMEEXTENDED,yes,False,,,,0,
KXMVESPORTSMULTIGAMEEXTENDED-S20261E05A2A6605-21D71986CBF,"yes Jalen Brunson: 4+,yes Cooper Flagg: 15+,yes Karl-Anthony Towns: 8+",Sports,KXMVESPORTSMULTIGAMEEXTENDED,yes,False,,,,0,
KXMVESPORTSMULTIGAMEEXTENDED-S20261E05A2A6605-1585C490D41,"yes Jalen Brunson: 4+,yes Cooper Flagg: 15+,yes Karl-Anthony Towns: 10+",Sports,KXMVESPORTSMULTIGAMEEXTENDED,yes,False,,,,0,
KXMVESPORTSMULTIGAMEEXTENDED-S20261E05A2A6605-07090A6DB3E,"yes Jalen Brunson: 6+,yes Cooper Flagg: 15+,yes Karl-Anthony Towns: 10+",Sports,KXMVESPORTSMULTIGAMEEXTENDED,yes,False,,,,0,
KXMVESPORTSMULTIGAMEEXTENDED-S20261C3647AEA04-97CC989F35B,"yes Jalen Brunson: 4+,yes Cooper Flagg: 15+,yes Kevin Durant: 20+,yes Karl-Anthony Towns: 8+",Sports,KXMVESPORTSMULTIGAMEEXTENDED,yes,False,,,,58,
KXMVESPORTSMULTIGAMEEXTENDED-S20261C3647AEA04-3AD1949AFC5,"yes Jalen Brunson: 4+,yes Cooper Flagg: 15+,yes Kevin Durant: 20+,yes Josh Hart: 6+",Sports,KXMVESPORTSMULTIGAMEEXTENDED,yes,False,,,,0,
KXMVESPORTSMULTIGAMEEXTENDED-S20261797609B68A-C3AE589FCE4,"yes Cooper Flagg: 15+,yes Amen Thompson: 10+,yes Josh Hart: 6+,yes Mikal Bridges: 2+,yes Alperen Sengun: 6+",Sports,KXMVESPORTSMULTIGAMEEXTENDED,yes,False,,,,0,
KXMVESPORTSMULTIGAMEEXTENDED-S2026151C70B9595-FB5FB57CA5D,"yes Cooper Flagg: 15+,yes Jalen Brunson: 20+,yes Josh Hart: 10+,yes Amen Thompson: 10+,yes Kevin Durant: 20+",Sports,KXMVESPORTSMULTIGAMEEXTENDED,yes,False,,,,0,
