Ticker,Title,Result,Settlement (¢),Crossed 90%,First Touch Time,First Touch Price (¢),Permanent Cross Time,Permanent Cross Price (¢),Market Close Time,Betting Window (min),Betting Window (sec),Prediction Correct,Trades Count
KXATPMATCH-26FEB08SHITOM-SHI,Will Sho Shimabukuro win the Shimabukuro vs Tomic : Qualification Final match?,yes,100,YES,2026-02-08T21:52:17.203839Z,90,2026-02-08T22:11:39.084906Z,91,2026-02-08T22:22:15Z,10.6,635,CORRECT,588
KXATPMATCH-26FEB08BARGAR-GAR,Will Cristian Garin win the Barrios Vera vs Garin : Round Of 32 match?,scalar,52,NO,,,,,2026-02-08T21:23:12Z,,,,4
KXATPMATCH-26FEB08BARGAR-BAR,Will Marcelo Tomas Barrios Vera win the Barrios Vera vs Garin : Round Of 32 match?,scalar,48,NO,,,,,2026-02-08T21:23:12Z,,,,
KXATPMATCH-26FEB08KYPPIN-PIN,Will Jack Pinnington Jones win the Kypson vs Pinnington Jones : Qualification Final match?,yes,100,YES,2026-02-08T21:00:59.589808Z,91,2026-02-08T21:00:59.589808Z,91,2026-02-08T21:07:05Z,6.1,365,CORRECT,1000
KXATPMATCH-26FEB08KYPPIN-KYP,Will Patrick Kypson win the Kypson vs Pinnington Jones : Qualification Final match?,no,0,NO,,,,,2026-02-08T21:07:05Z,,,,1000
KXATPMATCH-26FEB08PELSEY-SEY,Will Thiago Seyboth Wild win the Pellegrino vs Seyboth Wild : Qualification Final match?,no,0,NO,,,,,2026-02-08T20:52:30Z,,,,1000
KXATPMATCH-26FEB08PELSEY-PEL,Will Andrea Pellegrino win the Pellegrino vs Seyboth Wild : Qualification Final match?,yes,100,YES,2026-02-08T20:32:22.274154Z,90,2026-02-08T20:36:52.490481Z,90,2026-02-08T20:52:30Z,15.6,937,CORRECT,1000
KXATPMATCH-26FEB08SVABOY-SVA,Will Zachary Svajda win the Svajda vs Boyer : Qualification Final match?,yes,100,YES,2026-02-08T19:14:52.344104Z,96,2026-02-08T20:26:19.883468Z,90,2026-02-08T20:32:34Z,6.2,374,CORRECT,1000
KXATPMATCH-26FEB08SVABOY-BOY,Will Tristan Boyer win the Svajda vs Boyer : Qualification Final match?,no,0,NO,,,,,2026-02-08T20:32:34Z,,,,1000
KXATPMATCH-26FEB08DELMON-MON,Will Thiago Monteiro win the Dellien vs Monteiro : Qualification Final match?,no,0,NO,,,,,2026-02-08T20:16:55Z,,,,501
KXATPMATCH-26FEB08DELMON-DEL,Will Hugo Dellien win the Dellien vs Monteiro : Qualification Final match?,yes,100,YES,2026-02-08T19:35:17.847157Z,90,2026-02-08T20:03:36.081009Z,91,2026-02-08T20:16:55Z,13.3,798,CORRECT,393
KXATPMATCH-26FEB08GALMID-MID,Will Lautaro Midon win the Galan vs Midon : Qualification Final match?,yes,100,YES,2026-02-08T17:17:20.503967Z,90,2026-02-08T18:34:05.863924Z,94,2026-02-08T18:42:38Z,8.5,512,CORRECT,1000
KXATPMATCH-26FEB08GALMID-GAL,Will Daniel Elahi Galan win the Galan vs Midon : Qualification Final match?,no,0,NO,,,,,2026-02-08T18:42:38Z,,,,1000
KXATPMATCH-26FEB08PASCEC-PAS,Will Francesco Passaro win the Passaro vs Cecchinato : Qualification Final match?,yes,100,YES,2026-02-08T16:29:23.191623Z,90,2026-02-08T18:22:09.407499Z,92,2026-02-08T18:37:06Z,14.9,896,CORRECT,991
KXATPMATCH-26FEB08PASCEC-CEC,Will Marco Cecchinato win the Passaro vs Cecchinato : Qualification Final match?,no,0,NO,,,,,2026-02-08T18:37:06Z,,,,1000
KXATPMATCH-26FEB08AUGMAN-MAN,Will Adrian Mannarino win the Auger-Aliassime vs Mannarino : Final match?,no,0,NO,,,,,2026-02-08T15:46:46Z,,,,1000
KXATPMATCH-26FEB08AUGMAN-AUG,Will Felix Auger-Aliassime win the Auger-Aliassime vs Mannarino : Final match?,yes,100,YES,2026-02-08T14:11:32.139483Z,90,2026-02-08T15:43:00.923057Z,90,2026-02-08T15:46:46Z,3.8,225,CORRECT,1000
