sub_category,series_ticker,time_bucket,price_bucket,total_markets,wins,losses,accuracy,avg_profit,total_profit,profitable_yes_no,sample_tickers
Economics > Energy Prices,KXAAAGASM,24h+,90-92¢,26,24,2,92.3,1.92,50.0,yes,KXAAAGASM-26JAN31-2.75|KXAAAGASM-26JAN31-2.80|KXAAAGASM-26JAN31-2.85|KXAAAGASM-25DEC31-2.80|KXAAAGASM-25NOV30-2.95
Sports > Football > NFL,KXNFLANYTD,0-1h,93-95¢,8,8,0,100.0,6.12,49.0,yes,KXNFLANYTD-26FEB08SEANE-NEMHOLLINS13|KXNFLANYTD-26JAN25NEDEN-NEDMAYE10|KXNFLANYTD-26JAN18HOUNE-NESDIGGS8|KXNFLANYTD-26JAN17SFSEA-SEAJSMITHNJIGBA11|KXNFLANYTD-26JAN18LACHI-LAKWILLIAMS23
Mentions > Mentions,KXTRUMPMENTION,1-3h,93-95¢,9,9,0,100.0,5.44,49.0,yes,KXTRUMPMENTION-26FEB12-STOC|KXTRUMPMENTION-26FEB09-AFFO|KXTRUMPMENTION-26FEB06-TRAN|KXTRUMPMENTION-26FEB06-IRAN|KXTRUMPMENTION-26FEB06-ICE
Health > COVID-19,KXCASED,3-6h,90-92¢,5,5,0,100.0,9.6,48.0,yes,"CASED-22AUG10-T125,000|CASED-22MAY02-T60000|CASED-22APR06-T36,000|CASED-22MAR14-T45|CASED-21DEC27-T300"
Financials > Stock Indices,KXNASDAQ100Z,1-3h,90-92¢,5,5,0,100.0,9.6,48.0,yes,NASDAQ100Z-24MAR22-T18320.38|NASDAQ100Z-24JAN29-T17421.01|NASDAQ100Z-23DEC22-T16757.41|NASDAQ100Z-23AUG28-T14941.83|NASDAQ100Z-23AUG25-T14816.44
Transportation > Transportation,KXMTA,24h+,90-92¢,16,15,1,93.8,3.0,48.0,yes,KXMTA-25AUG17-A2500000|KXMTA-25JUL27-A2500000|MTA-22MAY22-A2.9|MTA-22MAR20-A2.7|MTA-22MAR06-A2.32
Mentions > Mentions,KXMRBEASTMENTION,1-3h,90-92¢,5,5,0,100.0,9.6,48.0,yes,KXMRBEASTMENTION-26FEB14-WATE|KXMRBEASTMENTION-26FEB14-MILL|KXMRBEASTMENTION-26FEB14-FEAS|KXMRBEASTMENTION-26FEB14-CONT|KXMRBEASTMENTION-26FEB14-CAR
Sports > Other Sports,KXNBLGAME,1-3h,93-95¢,8,8,0,100.0,5.88,47.0,yes,KXNBLGAME-26JAN21BRIMEL-MEL|KXNBLGAME-26JAN17NZBCAR-NZB|KXNBLGAME-26JAN16ILLAPER-PER|KXNBLGAME-26JAN01PERBRI-PER|KXNBLGAME-25DEC25ILLASYD-SYD
Climate and Weather > Precipitation,KXRAINNYC,24h+,93-95¢,8,8,0,100.0,5.88,47.0,yes,KXRAINNYC-26JAN09-T0|KXRAINNYC-25DEC23-T0|KXRAINNYC-25DEC19-T0|KXRAINNYC-25OCT08-T0|KXRAINNYC-25SEP25-T0
Sports > Cricket > T20,KXT20MATCH,1-3h,90-92¢,5,5,0,100.0,9.4,47.0,yes,KXT20MATCH-26FEB07NEDPAK-PAK|KXT20MATCH-26FEB09OMAZIM-ZIM|KXT20MATCH-26FEB09ITASCO-SCO|KXT20MATCH-26FEB08NEPENG-ENG|KXT20MATCH-26FEB07USAIND-IND
Mentions > Mentions,KXTRUMPMENTIONB,0-1h,90-92¢,5,5,0,100.0,9.4,47.0,yes,KXTRUMPMENTIONB-26FEB06-MANU|KXTRUMPMENTIONB-26FEB06-GLP|KXTRUMPMENTIONB-26FEB06-TARI|KXTRUMPMENTIONB-26FEB06-MEDI|KXTRUMPMENTIONB-26FEB06-HEAL
