Category,Series Ticker,Series Title,Ticker,Title,Result,Settlement (¢),Crossed 90%,First Touch Time,First Touch Price (¢),Permanent Cross Time,Permanent Cross Price (¢),Market Close Time,Betting Window (min),Betting Window (sec),Prediction Correct,Trades Count
Sports,KXATPMATCH,ATP Tennis Match,KXATPMATCH-26JAN13RIECOP-COP,Will Kimmer Coppejans win the Riedi vs Coppejans : Qualification Round 2 match?,yes,100,YES,2026-01-14T05:51:19.456527Z,90,,,2026-01-14T06:32:03.826668Z,40.7,2444,CORRECT,810
Sports,KXATPMATCH,ATP Tennis Match,KXATPMATCH-26JAN13FUCSHE-FUC,Will Marton Fucsovics win the Fucsovics vs Shevchenko : Round Of 16 match?,no,0,YES,2026-01-14T04:52:11.838351Z,92,,,2026-01-14T06:31:58.139936Z,99.8,5986,WRONG,1175
Sports,KXATPMATCH,ATP Tennis Match,KXATPMATCH-26JAN13VUKVAV-VUK,Will Aleksandar Vukic win the Vukic vs Vavassori : Round Of 16 match?,yes,100,YES,2026-01-14T05:17:53.497703Z,90,,,2026-01-14T06:31:53.172269Z,74.0,4439,CORRECT,1087
Sports,KXATPMATCH,ATP Tennis Match,KXATPMATCH-26JAN13NORMPE-MPE,Will Giovanni Mpetshi Perricard win the Norrie vs Mpetshi Perricard : Round Of 16 match?,yes,100,YES,2026-01-14T05:42:20.980838Z,91,,,2026-01-14T05:52:50.823749Z,10.5,629,CORRECT,2000
Sports,KXATPMATCH,ATP Tennis Match,KXATPMATCH-26JAN13RODJOD-JOD,Will Rafael Jodar win the Rodesch vs Jodar : Qualification Round 2 match?,yes,100,YES,2026-01-14T04:49:47.013304Z,90,,,2026-01-14T05:32:00.911911Z,42.2,2533,CORRECT,410
Sports,KXATPMATCH,ATP Tennis Match,KXATPMATCH-26JAN13MCCBUD-BUD,Will Nicolai Budkov Kjaer win the McCabe vs Budkov Kjaer : Qualification Round 2 match?,yes,100,YES,2026-01-14T05:10:13.728665Z,90,,,2026-01-14T05:31:56.152957Z,21.7,1302,CORRECT,1328
Sports,KXATPMATCH,ATP Tennis Match,KXATPMATCH-26JAN13BORSPI-SPI,Will Eliot Spizzirri win the Borges vs Spizzirri : Round Of 16 match?,yes,100,YES,2026-01-14T04:47:05.446485Z,91,,,2026-01-14T05:31:56.150308Z,44.8,2690,CORRECT,1328
Sports,KXATPMATCH,ATP Tennis Match,KXATPMATCH-26JAN13SEYMAE-MAE,Will Francesco Maestrelli win the Seyboth Wild vs Maestrelli : Qualification Round 2 match?,yes,100,YES,2026-01-14T04:11:30.926132Z,90,,,2026-01-14T04:52:25.039669Z,40.9,2454,CORRECT,399
Sports,KXATPMATCH,ATP Tennis Match,KXATPMATCH-26JAN13MEJYIB-YIB,Will Yibing Wu win the Mejia vs Wu : Qualification Round 2 match?,yes,100,YES,2026-01-14T03:08:52.559114Z,90,,,2026-01-14T04:52:13.021943Z,103.3,6200,CORRECT,398
Sports,KXATPMATCH,ATP Tennis Match,KXATPMATCH-26JAN13OPEPAU-PAU,Will Tommy Paul win the Opelka vs Paul : Round Of 16 match?,yes,100,YES,2026-01-14T04:22:30.634588Z,90,,,2026-01-14T04:42:30.272093Z,20.0,1199,CORRECT,855
Sports,KXATPMATCH,ATP Tennis Match,KXATPMATCH-26JAN13FERTOM-FER,Will Arthur Fery win the Fery vs Tomic : Qualification Round 2 match?,yes,100,YES,2026-01-14T03:55:08.139385Z,91,,,2026-01-14T04:33:01.809023Z,37.9,2273,CORRECT,642
Sports,KXATPMATCH,ATP Tennis Match,KXATPMATCH-26JAN13LANTRA-TRA,Will Stefano Travaglia win the Landaluce vs Travaglia : Qualification Round 2 match?,yes,100,YES,2026-01-14T03:36:56.835547Z,91,,,2026-01-14T04:12:48.350261Z,35.9,2151,CORRECT,201
Sports,KXATPMATCH,ATP Tennis Match,KXATPMATCH-26JAN13LLAWON-WON,Will Coleman Wong win the Llamas Ruiz vs Wong : Qualification Round 2 match?,yes,100,YES,2026-01-14T03:30:39.822812Z,91,,,2026-01-14T04:12:38.63417Z,42.0,2518,CORRECT,148
Sports,KXATPMATCH,ATP Tennis Match,KXATPMATCH-26JAN13MACHAL-MAC,Will Tomas Machac win the Machac vs Halys : Round Of 16 match?,yes,100,YES,2026-01-14T03:11:11.38743Z,91,,,2026-01-14T04:12:28.048516Z,61.3,3676,CORRECT,237
Sports,KXATPMATCH,ATP Tennis Match,KXATPMATCH-26JAN13ROCTRU-TRU,Will Marco Trungelliti win the Rocha vs Trungelliti : Qualification Round 2 match?,yes,100,YES,2026-01-14T03:14:30.104196Z,91,,,2026-01-14T03:42:29.431585Z,28.0,1679,CORRECT,493
Sports,KXATPMATCH,ATP Tennis Match,KXATPMATCH-26JAN13GRIHUM-HUM,Will Ugo Humbert win the Griekspoor vs Humbert : Round Of 16 match?,yes,100,YES,2026-01-14T03:07:20.115504Z,90,,,2026-01-14T03:42:26.270043Z,35.1,2106,CORRECT,414
Sports,KXATPMATCH,ATP Tennis Match,KXATPMATCH-26JAN12CARARN-ARN,Will Gilles Arnaud Bailly win the Carballes Baena vs Arnaud Bailly : Qualification Round 2 match?,yes,100,YES,2026-01-14T02:46:06.073738Z,90,,,2026-01-14T03:12:45.449078Z,26.6,1599,CORRECT,1497
Sports,KXATPMATCH,ATP Tennis Match,KXATPMATCH-26JAN13MUNCER-CER,Will Francisco Cerundolo win the Munar vs Cerundolo : Round Of 16 match?,no,0,YES,2026-01-14T02:27:22.015927Z,90,,,2026-01-14T03:12:33.541253Z,45.2,2711,WRONG,971
Sports,KXATPMATCH,ATP Tennis Match,KXATPMATCH-26JAN12KYMSWE-SWE,Will Dane Sweeny win the Kym vs Sweeny : Qualification Round 2 match?,yes,100,YES,2026-01-14T02:09:57.644186Z,90,,,2026-01-14T02:52:41.557303Z,42.7,2563,CORRECT,199
Sports,KXATPMATCH,ATP Tennis Match,KXATPMATCH-26JAN12PRIHEI-PRI,Will Dino Prizmic win the Prizmic vs Heide : Qualification Round 2 match?,yes,100,YES,2026-01-14T01:55:57.368521Z,90,,,2026-01-14T02:52:39.527214Z,56.7,3402,CORRECT,288
Sports,KXATPMATCH,ATP Tennis Match,KXATPMATCH-26JAN13DARTAB-TAB,Will Alejandro Tabilo win the Darderi vs Tabilo : Round Of 16 match?,no,0,YES,2026-01-14T01:13:04.599642Z,91,,,2026-01-14T02:32:57.658645Z,79.9,4793,WRONG,705
Sports,KXATPMATCH,ATP Tennis Match,KXATPMATCH-26JAN13BUEHER-HER,Will Pierre-Hugues Herbert win the Bueno vs Herbert : Qualification Round 2 match?,yes,100,YES,2026-01-14T01:39:45.91443Z,90,,,2026-01-14T02:12:56.002264Z,33.2,1990,CORRECT,317
Sports,KXATPMATCH,ATP Tennis Match,KXATPMATCH-26JAN13BROBAE-BAE,Will Sebastian Baez win the Brooksby vs Baez : Round Of 16 match?,yes,100,YES,2026-01-14T01:40:53.429014Z,91,,,2026-01-14T02:03:19.528895Z,22.4,1346,CORRECT,952
Sports,KXATPMATCH,ATP Tennis Match,KXATPMATCH-26JAN12BASOFN-BAS,Will Nishesh Basavareddy win the Basavareddy vs Ofner : Qualification Round 2 match?,yes,100,YES,2026-01-14T00:56:37.868775Z,90,,,2026-01-14T01:52:52.91069Z,56.2,3375,CORRECT,2000
Sports,KXATPMATCH,ATP Tennis Match,KXATPMATCH-26JAN13HASFAR-FAR,Will Jaime Faria win the Hassan vs Faria : Qualification Round 2 match?,yes,100,YES,2026-01-14T01:12:48.739842Z,90,,,2026-01-14T01:52:39.094411Z,39.8,2390,CORRECT,223
